EAR,MAR,PITCH,YAW,ROLL,D_SLUMP,R_TILT,FACIAL_DISPLAYED,POSE_DISPLAYED,LABEL,Image_Path
0.3016,0.444,29.0022,5.8617,0.7465,0.9218,-6.2034,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374023_20.jpg
0.3016,0.444,29.0022,5.8617,0.7465,0.9218,-6.2034,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374077_19.jpg
0.2786,0.4679,27.4794,6.7996,1.1591,0.9187,-4.9217,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374135_18.jpg
0.2856,0.5154,28.7395,6.2059,1.8315,0.8998,-5.223,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374187_17.jpg
0.2856,0.5154,28.7395,6.2059,1.8315,0.8998,-5.223,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374241_16.jpg
0.2863,0.6088,42.329,6.6644,1.9832,0.8724,-5.3363,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374295_15.jpg
0.2863,0.6088,42.329,6.6644,1.9832,0.8724,-5.3363,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374352_14.jpg
0.2793,0.5756,43.0864,5.8722,2.3912,0.9083,-5.5872,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374405_13.jpg
0.2777,0.5872,44.5457,5.809,3.1435,0.9013,-5.0104,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374460_12.jpg
0.2777,0.5872,44.5457,5.809,3.1435,0.9013,-5.0104,1,1,0,f:\Code\Year_2\AI_Drowsiness_Detection\Additional_Dataset\Awake\1766217374513_11.jpg
