EAR,MAR,PITCH,YAW,ROLL,D_SLUMP,R_TILT,FACIAL_DISPLAYED,POSE_DISPLAYED,LABEL,Image_Path
0.2785,0.4412,-2.6455,11.9168,2.512,1.1111,2.8964,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088798636_20.jpg
0.2791,0.4248,-4.2061,11.1383,3.021,1.1124,1.4815,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088798691_19.jpg
0.2856,0.4238,-5.2691,7.7924,2.4668,1.1035,2.3441,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088798739_18.jpg
0.2874,0.4255,-6.5367,8.3542,2.71,1.1091,2.3238,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088798786_17.jpg
0.2751,0.4528,-1.8395,11.5948,2.9875,1.1322,2.158,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088798834_16.jpg
0.2787,0.4593,-2.524,9.0772,2.8219,1.1233,1.6748,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088798881_15.jpg
0.2738,0.4657,-4.5027,10.3607,2.9319,1.0943,1.9806,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088798916_14.jpg
0.274,0.4061,-1.9661,8.6181,3.0074,1.1008,1.9921,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088798960_13.jpg
0.2843,0.4838,-2.3186,8.4498,3.3896,1.115,1.9979,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088799004_12.jpg
0.2801,0.5136,2.9239,9.4694,2.8245,1.1221,1.5208,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088799054_11.jpg
0.2731,0.4384,-7.1314,10.9842,2.6896,1.0905,2.8292,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088799100_10.jpg
0.2809,0.4559,-0.3291,10.5694,2.9473,1.1221,2.158,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088799144_9.jpg
0.2689,0.4288,-2.9629,8.2269,3.1014,1.1008,2.6786,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088799192_8.jpg
0.2746,0.4698,-0.2775,7.0947,2.999,1.0977,1.1557,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088799240_7.jpg
0.2783,0.4444,-2.8766,8.5556,2.8209,1.1008,2.1642,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088799287_6.jpg
0.2734,0.4379,-2.6846,8.1824,2.5367,1.1018,1.3169,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088799333_5.jpg
0.2835,0.4427,-4.808,10.0725,2.7065,1.1014,2.1769,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088799382_4.jpg
0.2705,0.4128,-3.9046,12.0357,2.9998,1.1204,1.9806,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088799426_3.jpg
0.2767,0.4659,-5.3713,10.7983,2.7851,1.0903,2.5114,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088799473_2.jpg
0.2638,0.4394,-5.753,10.2642,3.5341,1.1416,2.3171,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088799521_1.jpg
0.2654,0.4222,-16.3416,8.3556,3.0625,1.1128,1.5074,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802005_20.jpg
0.2565,0.4569,-11.2676,12.0293,2.9033,1.1336,1.014,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_ReRecorded\Awake\1766088802052_19.jpg
