EAR,MAR,PITCH,YAW,ROLL,D_SLUMP,R_TILT,EYE_CL,FACIAL_DISPLAYED,POSE_DISPLAYED,LABEL,Image_Path
0.3553,0.6065,36.7948,-2.4032,-5.2811,1.0014,0.5907,0.0651,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\100_jpg.rf.c81efb146d155327305f5470bfc60b6d.jpg
0.2809,0.2453,25.4717,-5.7497,-1.4201,0.9694,-4.8035,0.0543,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\101_jpg.rf.84809ab52d0cf4fe45f1871a956b7a56.jpg
0.4133,0.2699,133.0847,-1.048,-1.768,0.7708,-1.2364,0.0862,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\102_jpg.rf.7763987c1b6d85808492937dc241ead9.jpg
0.3716,0.2621,45.8079,-21.1239,4.3241,1.0824,4.0856,0.0693,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\103_jpg.rf.ca8b1ec219295b7b3eb32602e47ca3df.jpg
0.3518,0.4455,51.9544,-1.9713,0.0185,0.9944,0.5968,0.0658,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\104_jpg.rf.aa95952865b538c389ba71dc8040a573.jpg
0.3591,0.2959,73.9798,-3.6246,-4.4454,1.0472,-0.7957,0.0633,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\106_jpg.rf.4a8436bc719e8b0929228cb7dcc929d6.jpg
0.3378,0.2951,37.7237,-2.7922,0.5011,1.0945,0.7489,0.0672,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\109_jpg.rf.4136391225c9d9b9b0ca63282ef586ed.jpg
0.2873,0.3359,-9.274,-3.6593,-2.1311,1.4209,3.1798,0.0548,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\113_jpg.rf.383e24b8c623f35a61a9692004d78df9.jpg
0.3455,0.396,62.4152,-9.5397,-2.7806,1.0415,1.8717,0.0679,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\114_jpg.rf.15671f764eec86d9644a4e594009d6a0.jpg
0.3664,0.283,40.431,3.4281,-5.3779,1.1458,-5.1944,0.0704,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\115_jpg.rf.63241b5e7d4ad202140093f8a251df9d.jpg
0.2545,0.2361,130.6912,2.0624,-2.2016,0.8537,-0.4063,0.0503,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\119_jpg.rf.41da3137cd85d15f449d9b746327a78e.jpg
0.3161,0.342,73.7156,8.7755,2.6548,1.1398,-5.886,0.0576,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\120_jpg.rf.2c409e5fe41cb99d1479425eaa32301d.jpg
0.3389,0.2981,46.6652,-2.8878,-4.5284,1.0267,1.2454,0.0633,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\14_jpg.rf.7a332c4198c34d71d8fe9445b845f2af.jpg
0.3823,0.3055,69.666,-19.0279,0.328,1.0378,0.7393,0.0734,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\15_jpg.rf.64b074276988564540e2405917494d1d.jpg
0.3353,0.3047,63.5126,4.4197,0.6138,1.1456,-0.4584,0.0649,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\17_jpg.rf.de2c02e926d84ea69d2caeee804b1ea9.jpg
0.3658,0.2971,32.4321,0.7185,0.5216,1.255,-0.4621,0.0737,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\18_jpg.rf.7d4df7a8d0272ba0f4ceb25e762adbb5.jpg
0.332,0.3222,47.6153,-2.8886,3.3413,1.0386,0.0,0.0675,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\21_jpg.rf.94742b700f48e76f23735ed505ace688.jpg
0.4035,0.3316,24.417,8.2123,2.1848,1.1923,5.2901,0.0809,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\22_jpg.rf.9683992847de506ba7ee4e9a1ff28e9e.jpg
0.3188,0.2951,1.9719,-48.7688,-5.8937,1.1564,-1.9092,0.0549,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\23_jpg.rf.3aa7a977c1852d39ec831df3846ef125.jpg
0.3156,0.338,11.1951,33.826,13.8571,1.3264,0.0,0.0504,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\24_jpg.rf.3b2167b7d3c7a2c8d8a150ed6f25b815.jpg
0.2569,0.3086,-16.6037,-11.6798,-0.6397,1.3111,-0.4407,0.0462,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\30_jpg.rf.eaac36c6414053cd64f9da3f485930c1.jpg
0.3287,0.2928,49.1381,1.6943,-0.2707,1.0606,0.8814,0.0685,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\33_jpg.rf.9c587bb05e1ca2834466303ab7335f74.jpg
0.3854,0.2387,123.8577,-5.6134,0.5776,0.8034,-0.372,0.0768,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\37_jpg.rf.d7e7a9cbfefd1b25cbbfad5de6ea83df.jpg
0.33,0.3458,93.7972,23.8962,-5.9631,0.8625,-12.0306,0.0664,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\38_jpg.rf.ba4598603e19b979d91f4d6c75f96bef.jpg
0.2694,0.2473,-8.1265,2.5048,-0.8347,1.274,0.0,0.0561,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\40_jpg.rf.b2a30c9a52c5f406160b7d5bc3584dd6.jpg
0.2852,0.3891,11.7523,-3.5858,-8.4898,1.1632,-0.7441,0.0549,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\44_jpg.rf.b97e0422bf5422846a75c679b9f13841.jpg
0.219,0.328,39.5497,-1.0927,3.2931,1.1651,4.0078,0.038,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\46_jpg.rf.2c5e95c607bf263cbb530b5041a15e3a.jpg
0.3178,0.3348,4.3214,-0.8625,-10.381,0.9378,-1.3859,0.0564,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\48_jpg.rf.665cbac567168e194bffb056e58c6f2d.jpg
0.3209,0.2995,42.1514,12.1138,7.9555,1.0842,2.7481,0.063,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\59_jpg.rf.5705c932676a1f1c6d60ec0c8d2e9831.jpg
0.3574,0.3099,17.6583,2.7175,-2.2202,1.0069,2.4717,0.0731,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\66_jpg.rf.bd8797688a82dee515ac6721933c4ed5.jpg
0.3519,0.2109,17.643,-20.6476,4.3799,1.2472,-0.7393,0.0642,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\70_jpg.rf.a30d785beb3d1849d976e7f213cad8c4.jpg
0.3203,0.3513,35.2743,0.2628,3.7869,1.0585,-1.7715,0.0616,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\73_jpg.rf.c724bb79e57c120df92d2c1b561fa593.jpg
0.3479,0.2449,40.2754,3.2772,-2.1448,0.9193,0.7848,0.0688,1,1,0,c:\Code\Year_2\AI_Drowsiness_Detection\Datasets_train\Awake\74_jpg.rf.275587e3eb67dbc15abcfcb24f714c76.jpg
