EAR,MAR,PITCH,YAW,ROLL,D_SLUMP,R_TILT,EYE_CL,FACIAL_DISPLAYED,POSE_DISPLAYED,LABEL,Image_Path
0.3331,0.5861,31.6382,-5.2346,-5.0504,1.064,0.507,0.0621,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_train\Awake\100_jpg.rf.8aabea6d0abf25becbe646f2be1e1063.jpg
0.2696,0.2103,23.0431,-1.6258,-0.4376,0.9222,-1.8882,0.0536,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_train\Awake\101_jpg.rf.06718daabdc95ba1c7cb9e26980ff7b1.jpg
0.4142,0.2831,145.9168,0.9384,-1.5578,0.7423,-1.2571,0.0878,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_train\Awake\102_jpg.rf.79d3552307a351354583dc47ca5ea0c0.jpg
0.4271,0.2635,32.7882,-25.6324,3.5415,1.0925,4.0142,0.0811,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_train\Awake\103_jpg.rf.bae056751cb245670562b614e2b6c913.jpg
0.359,0.2906,57.2217,-1.0224,-0.2451,0.9877,0.7673,0.0683,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_train\Awake\104_jpg.rf.f85676cdb17a50ff2d066ad806bf3ec9.jpg
0.3015,0.3222,46.9516,1.9808,-2.8395,1.0688,3.1565,0.0578,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_train\Awake\105_jpg.rf.b5b0fd025d8cc8a1d12d52d3cb3e829b.jpg
0.3952,0.2914,57.587,-7.0596,-6.5889,1.0384,-0.3472,0.0724,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_train\Awake\106_jpg.rf.1160834ebce1e121309f32a8c519a50f.jpg
0.3447,0.313,39.2946,-3.1527,0.1659,1.1305,1.273,0.0705,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_train\Awake\109_jpg.rf.f5ff5092555071eae4cb7c437a590b13.jpg
0.2903,0.3375,-7.2156,-2.1379,-2.4496,1.4789,2.4658,0.0583,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_train\Awake\113_jpg.rf.e77a836c287043db5e47d230f6a4ef91.jpg
0.3353,0.3551,58.234,-7.9124,-2.4083,1.0776,0.8002,0.0684,1,1,0,c:\VGU_projects\Drowsiness_detector\AI_Drowsiness_Detection\Datasets_train\Awake\114_jpg.rf.4c2fb16c5a3c1d6b6397e6d71f94345e.jpg
